userid,account,uncertainty_1,uncertainty_2,likelihood_e,reduc_e,likelihood_s,reduc_s,Finished,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA,1L. NoA_1,1L. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA,1. NoA.,1M. NoA._1,1M. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1M. NoA._1,1M. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA.,1M. NoA_1,1M. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2L. Acc._1,2L. Acc._1,NoA.,1. NoA.,1H. NoA_1,1H. NoA._1,2. NoA.,2M. Acc._1,2M. Acc._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2H. Acc._1,2H. Acc._1,Acc.,1. Acc,1L. Acc._1,1L. Acc._1,2. Acc,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extro,extro_1,extro_2*,extro_2,extro_3,extro_4*,extro_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,nfc,nfc_1,nfc_2,nfc_3*,nfc_3,nfc_4*,nfc_4,nfc_5*,nfc_5,nfc_6,nfc_7*,nfc_7,nfc_8*,nfc_8,nfc_9*,nfc_9,nfc_10,nfc_11,nfc_12*,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16*,nfc_16,nfc_17*,nfc_17,nfc_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,background,pol.party,pol.party_TEXT,pol.orient_1,pol.orient_2,pol.orient_3,educ,age,gender,race,pol.exp_1,pol.exp_2,pol.exp_3,pol.exp_4,pol.exp_5,pol.exp_6,pol.exp_7,pol.exp_8,policy
148,0,2,1,50,50,90,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,50,1,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,4,5,2,6,7,2,6,3.25,2,3,5,4,4,4,5.25,6,6,2,5,4,4,4.25,6,6,2,3,5,2,6,3,2,6,2,2,2,6,4.388888889,5,6,4,4,5,3,5,3,3,4,4,5,3,5,3,1,7,5,3,5,4,5,5,3,2,6,3,4,6,6,3,3,5,6,2,3,5,4,4,2,3,1,2,,6,8,3,3,1,1,4,,1,1,1,,,,,2
149,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,1,2,81,6,57,41,1,,,,,,,,1,1,81,6,1,57,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.05,0,5,1,47,1,6.5,6,6,2,7,7,1,6,6,6,2,6,6,2,6.5,7,6,2,6,7,1,6,6,6,2,6,2,6,2,4.75,5,3,5,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,3,2,60,20,25,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60,20,1,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,1,0,47,1,4.75,5,2,6,6,6,2,2,1,3,5,2,2,6,4.25,4,5,3,3,5,3,5.25,6,6,2,3,5,6,2,2.75,3,3,5,2,3,5,5.833333333,6,6,6,2,6,2,6,2,6,6,2,6,2,5,3,5,6,6,2,6,5,7,6,2,6,2,5,5.777777778,5,7,5,7,1,5,3,4,4,7,1,7,5,1,2,,6,8,5,3,1,1,1,,,1,,1,,1,,2
155,1,3,1,50,50,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,50,1,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,4,5,2,6,5,4,4,4.75,3,7,1,6,3,5,6.75,7,7,1,6,7,1,5.75,6,6,2,5,3,6,2,3.5,2,3,5,5,4,4,4.944444444,4,6,4,4,5,3,5,3,6,2,6,4,4,3,5,6,7,6,2,5,5,6,3,5,6,2,6,5.444444444,6,6,6,7,1,4,4,5,3,6,2,4,5,1,3,,2,4,1,5,1,1,2,,,,,,,1,,2
156,0,3,1,98,28,72,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,98,28,1,72,8,,,,,,,,,,,,,,,1,0.10,0,100,0,47,1,2.75,2,2,6,4,3,5,1,1,1,7,1,1,7,6,6,6,2,7,5,3,5.75,5,6,2,6,2,6,2,3.5,2,2,6,5,5,3,4.333333333,5,5,6,2,6,2,2,6,6,6,2,2,6,2,6,2,2,2,6,6,6,6,2,6,6,2,6,5.777777778,6,6,6,6,2,6,2,7,1,7,1,3,5,1,1,,2,2,1,3,1,2,1,,,,,,,,1,2
157,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0,2,0,50,1,,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,1,1,,50,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,2.5,1,3,5,4,2,6,5.5,6,5,3,7,4,4,3.25,2,3,5,2,6,2,5.25,6,1,7,7,1,7,1,4.5,3,7,1,3,5,3,6.722222222,6,6,7,1,7,1,7,1,6,7,1,7,1,6,2,6,7,7,1,7,7,7,7,1,7,1,7,6.555555556,6,7,7,7,1,7,1,7,1,7,1,7,4,1,2,,6,7,3,5,1,1,1,,,,,1,,1,,2
161,0,1,0,100,,,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100,,1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,3,0,10,65,,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,65,1,,70,1,0.10,0,3,0,47,1,6.25,6,6,2,7,6,2,5.25,4,6,2,5,6,2,5.5,6,6,2,5,5,3,4.25,4,5,3,5,3,3,5,4,3,5,3,3,5,3,5.333333333,6,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,1,7,1,4,5,7,3,5,3,5,6,5.111111111,6,6,4,6,2,6,2,4,4,6,2,5,3,1,2,,7,7,6,3,1,1,1,,1,1,1,1,1,1,,2
163,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,3,0,80,30,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,0,0,,60,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,60,1,,,1,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1,1,3,68,7,93,7,1,,,,,,,,,,,,,,,1,1,68,7,1,93,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,5,6,2,6,3,5,4.75,5,6,2,6,2,6,6.5,7,7,1,6,6,2,6.25,7,5,3,7,1,6,2,3,3,2,6,2,5,3,4.444444444,7,6,1,7,3,5,2,6,5,2,6,2,6,7,1,5,6,7,1,7,6,5,1,7,5,3,3,5.111111111,6,6,6,7,1,4,4,3,5,5,3,4,5,1,1,,5,5,6,5,3,1,4,1,,,,1,,1,,2
168,0,2,1,79,21,22,10,1,,,,,,,,,,,,,,,,,,,,,,1,1,79,21,1,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0,1,1,90,5,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90,5,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.25,2,5,3,6,4,4,6,6,7,1,5,6,2,2.5,2,2,6,1,5,3,5.5,7,3,5,5,3,7,1,6.5,7,7,1,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1,0,0,,,,,0,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1,3,3,73,76,87,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,73,76,1,87,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.25,6,5,3,7,3,5,5.25,6,5,3,6,4,4,6,6,5,3,7,6,2,6.25,6,7,1,6,2,6,2,2.75,5,2,6,2,2,6,3.611111111,6,7,7,1,2,6,3,5,6,2,6,3,5,2,6,4,6,3,5,1,4,3,1,7,3,5,2,4.333333333,6,6,6,5,3,2,6,2,6,3,5,5,4,1,2,,6,7,5,5,4,1,1,,,,1,,,1,,2
173,0,1,1,90,8,95,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90,8,1,95,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.75,6,3,5,5,5,3,6,6,6,2,6,6,2,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,5,5,5,3,5,5,3,4.888888889,2,6,6,2,6,2,6,2,6,2,6,3,5,5,3,6,2,6,2,6,6,3,5,3,7,1,5,4.333333333,2,3,6,5,3,3,5,3,5,5,3,6,6,1,1,,5,5,5,5,4,1,4,,,,,1,,1,,2
174,0,2,1,80,40,40,6,1,,,,,,,,,,,,,,,,,,,,,,1,1,80,40,1,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,1,0,48,0,5.5,6,4,4,7,5,3,5.5,6,5,3,6,5,3,5,6,6,2,2,6,2,5,2,6,2,6,2,6,2,3.75,3,3,5,4,5,3,4.277777778,2,5,5,3,6,2,3,5,6,1,7,6,2,3,5,6,6,6,2,2,2,4,4,4,6,2,4,4,5,5,4,5,3,3,5,4,4,2,6,4,4,1,2,,6,5,6,3,1,1,1,,,1,,,,,,2
175,0,1,3,80,9,90,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,9,1,90,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,6,6,2,2,6,2,2,2,2,6,2,2,6,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,6,6,6,2,6,6,2,4.666666667,2,6,6,2,6,2,6,2,6,2,6,2,6,6,2,6,2,6,2,6,6,2,2,6,6,2,6,5.333333333,6,5,6,5,3,3,5,5,3,6,2,6,6,1,1,,5,5,5,5,4,1,1,,,,,1,,1,,2
176,0,3,2,30,25,15,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,30,25,1,15,10,,,,,,,,0,0.10,0,1,0,24,0,6,6,4,4,7,7,1,6.25,7,7,1,4,7,1,5.25,6,6,2,2,7,1,6.5,7,6,2,6,2,7,1,3.75,6,3,5,2,4,4,4.333333333,6,6,5,3,2,6,2,6,5,3,5,2,6,2,6,6,7,3,5,6,6,3,3,5,5,3,6,4.111111111,6,5,4,5,3,2,6,3,5,3,5,4,5,1,3,,5,7,6,3,2,1,1,,,,,,,1,,2
177,1,1,1,92,8,98,9,1,1,1,92,8,1,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.75,6,5,3,5,3,5,4.75,7,5,3,5,2,6,6.25,6,5,3,7,7,1,6,6,7,1,5,3,6,2,2.25,3,3,5,1,2,6,4.111111111,5,6,7,1,3,5,2,6,6,6,2,2,6,3,5,2,6,3,5,6,5,2,7,1,2,6,1,3.666666667,5,6,5,1,7,2,6,1,7,3,5,6,4,1,2,,7,5,7,5,4,1,1,,,,1,,1,,,1
178,1,2,3,78,43,85,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,78,43,1,85,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,5,4,4,6,5,3,4.75,5,5,3,5,4,4,6,6,5,3,7,6,2,5.75,6,5,3,6,2,6,2,2.25,3,2,6,1,3,5,5.055555556,6,7,7,1,2,6,2,6,7,2,6,2,6,5,3,6,5,7,1,6,5,7,2,6,7,1,6,4,5,4,6,1,7,3,5,2,6,2,6,7,6,1,1,,5,6,5,6,5,1,1,,,,,1,,,,2
179,1,3,1,74,76,86,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,74,76,1,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.75,6,5,3,5,3,5,5.25,6,5,3,6,4,4,6.5,7,7,1,6,6,2,5.5,5,7,1,5,3,5,3,1.75,1,2,6,3,1,7,4.777777778,6,7,6,2,2,6,7,1,6,3,5,3,5,2,6,6,7,6,2,6,5,7,2,6,3,5,2,4,6,7,4,1,7,2,6,2,6,3,5,5,6,1,3,,4,4,5,5,2,2,1,,,,,,,1,,1
180,1,2,2,39,20,35,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,39,20,1,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,1,0,24,0,5.25,7,3,5,7,4,4,4.75,5,5,3,4,5,3,5.5,7,7,1,1,7,1,6,6,7,1,5,3,6,2,3.75,4,4,4,3,4,4,5.222222222,6,6,7,1,2,6,2,6,6,6,2,6,2,5,3,6,7,6,2,6,6,6,4,4,4,4,3,4.333333333,6,6,5,5,3,3,5,3,5,3,5,4,4,1,2,,7,7,7,4,2,1,5,,,,1,,,,,2
181,0,3,3,10,10,27,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,10,1,27,20,0,0.10,0,1,0,24,0,6,7,4,4,7,6,2,5.5,6,6,2,4,6,2,5.5,6,6,2,5,5,3,5.75,6,6,2,5,3,6,2,5.25,7,5,3,5,4,4,5.111111111,7,6,7,1,2,6,2,6,3,6,2,5,3,6,2,6,7,7,1,3,6,6,6,2,5,3,2,4.333333333,6,4,5,4,4,2,6,3,5,3,5,6,6,1,2,,7,7,8,5,1,2,1,,1,1,1,,,,,2
182,0,1,2,40,3,40,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,40,3,1,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,1,0,24,0,5.5,6,4,4,7,5,3,4.75,5,6,2,3,5,3,5,5,5,3,5,5,3,5,6,4,4,4,4,6,2,5.5,7,6,2,6,3,5,4.277777778,6,6,6,2,6,2,4,4,5,3,5,3,5,4,4,6,2,6,2,6,2,2,2,6,4,4,4,4.111111111,6,5,5,5,3,2,6,3,5,2,6,5,4,1,2,,5,5,5,5,2,2,1,,,,1,,,1,,2
183,1,1,2,50,5,40,15,1,,,,,,,,1,1,50,5,1,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,1,0,24,0,5,7,3,5,7,3,5,7,7,7,1,7,7,1,5,5,7,1,2,6,2,6.75,7,6,2,7,1,7,1,4,6,2,6,3,5,3,4.722222222,5,6,6,2,5,3,5,3,4,4,4,4,4,5,3,5,6,4,4,4,6,6,2,6,4,4,4,4.111111111,6,4,5,5,3,4,4,2,6,2,6,4,5,1,1,,3,3,5,5,2,1,1,,,1,1,,,1,,2
184,0,1,3,10,5,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,5,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.25,6,6,2,3,6,2,6,6,6,2,6,6,2,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,2,2,2,6,2,2,6,2.666666667,2,2,2,6,2,6,2,6,2,2,6,2,6,2,6,2,6,6,2,2,2,2,2,6,2,6,6,5.111111111,6,6,6,6,2,2,6,6,2,6,2,6,2,1,3,,2,2,2,5,4,1,1,,,,,1,,1,,2
185,0,1,1,96,9,96,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,96,9,1,96,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,6,6,2,2,6,2,2,2,2,6,2,2,6,7,7,7,1,7,7,1,7,7,7,1,7,1,7,1,1.75,1,2,6,2,2,6,5.555555556,6,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,2,6,2,6,6,6,6,2,6,2,2,4.666666667,2,2,5,6,2,6,2,5,3,5,3,5,6,1,1,,3,3,3,4,4,1,1,,,,,,,1,,2
