userid,low_high,num_verb,noground_ground,outcome,act_pos,act_neg,inact_pos,inact_neg,justification,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extra,extra_1,extra_2*,extra_2,extra_3,extra_4*,extra_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,need.cog,need.cog_1,need.cog_2,need.cog_3*,need.cog_3,need.cog_4*,need.cog_4,need.cog_5*,need.cog_5,need.cog_6,need.cog_7*,need.cog_7,need.cog_8*,need.cog_8,need.cog_9*,need.cog_9,need.cog_10,need.cog_11,need.cog_12*,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16*,need.cog_16,need.cog_17*,need.cog_17,need.cog_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,orient,orient.2,orient.2_1,orient.2_2,orient.2_3,educ,age,gender,race,gov.exper,policy
83,0,0,0,4,0,0,0,1,6,0,0.1,0,20,0,6,0,4.25,4,5,3,5,3,5,5,5,5,3,5,5,3,5.75,4,6,2,7,6,2,7,7,7,1,7,1,7,1,3.5,2,5,3,2,5,3,6.3889,7,7,6,2,7,1,7,1,5,6,2,6,2,7,1,5,7,6,2,7,7,7,7,1,6,2,5,5.5556,6,6,6,6,2,3,5,5,3,6,2,7,5,3,5,5,6,4,6,4,2,1,1,2
85,1,0,0,1,1,0,0,0,5,3,0.05,1,5,1,47,1,6.25,6,6,2,7,6,2,6,5,6,2,7,6,2,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,3.75,2,5,3,2,6,2,6.1111,6,6,6,2,7,1,6,2,3,6,2,6,2,7,1,6,7,7,1,6,6,6,6,2,7,1,6,6.5556,7,7,6,7,1,6,2,6,2,7,1,7,6,1,3.6667,3,5,3,6,5,1,4,1,2
86,0,0,1,3,0,0,1,0,5,2,0.1,0,5,1,47,1,5.75,6,5,3,6,6,2,5.25,5,4,4,6,6,2,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,2.75,1,6,2,2,2,6,5.6111,4,6,6,2,6,2,6,2,5,6,2,5,3,5,3,6,6,6,2,5,5,7,6,2,6,2,5,5.8889,4,6,6,7,1,5,3,6,2,7,1,5,7,2,7.3333,7,8,7,5,6,1,1,1,2
93,1,1,1,1,1,0,0,0,6,1,0.1,0,100,0,47,1,5.5,5,5,3,6,6,2,3.75,5,5,3,2,3,5,7,7,7,1,7,7,1,5.75,7,7,1,3,5,6,2,5.75,5,7,1,5,6,2,5.1667,4,6,6,2,4,4,6,2,6,5,3,6,2,3,5,6,6,7,1,4,6,4,2,6,6,2,6,5.7778,6,7,7,5,3,3,5,3,5,7,1,7,7,1,4.6667,6,7,1,6,4,1,1,2,2
95,0,0,1,4,0,0,0,1,2,0,0.1,0,100,0,36,0,6.5,6,6,2,7,7,1,5.5,5,6,2,6,5,3,5.75,6,6,2,5,6,2,5.75,6,6,2,5,3,6,2,2.5,2,3,5,2,3,5,5.0556,5,5,6,2,6,2,5,3,3,5,3,4,4,4,4,6,6,6,2,5,6,6,4,4,5,3,4,5.3333,6,6,6,6,2,3,5,5,3,6,2,6,4,1,4.6667,5,6,3,5,3,1,1,1,1
96,1,1,0,4,0,0,0,1,3,3,0.05,1,5,1,47,1,3.5,3,2,6,6,3,5,4,3,5,3,3,5,3,6.25,6,7,1,5,7,1,3,2,3,5,5,3,2,6,2.25,2,3,5,2,2,6,4.5556,5,4,3,5,5,3,5,3,4,4,4,4,4,3,5,5,6,6,2,5,4,4,6,2,5,3,4,5.5556,4,6,6,7,1,5,3,6,2,7,1,6,3,1,2.6667,3,3,2,8,4,2,1,2,2
99,0,1,1,4,0,0,0,1,6,0,0.1,0,100,0,24,0,4.5,4,3,5,6,5,3,5.75,5,6,2,6,6,2,6,6,6,2,5,7,1,5.5,5,6,2,6,2,5,3,3,1,3,5,2,6,2,5.6667,7,6,7,1,7,1,7,1,5,6,2,4,4,6,2,6,6,6,2,4,6,6,2,6,6,2,5,5.5556,5,6,7,6,2,4,4,5,3,7,1,5,5,1,2.3333,3,3,1,8,2,1,1,2,2
101,0,0,1,2,0,1,0,0,5,1,0.05,1,1,0,12,0,4.5,3,3,5,6,6,2,4,5,3,5,3,5,3,6,6,6,2,6,6,2,5.5,7,5,3,3,5,7,1,4.25,3,4,4,3,7,1,5.8889,6,7,7,1,6,2,6,2,6,5,3,3,5,6,2,7,7,7,1,7,6,7,1,7,6,2,6,5.5556,6,6,6,6,2,3,5,4,4,7,1,7,5,1,3,3,4,2,6,3,2,7,2,1
103,0,0,0,3,0,0,1,0,6,2,0.05,1,100,0,47,1,4,3,5,3,5,3,5,3,3,3,5,3,3,5,4,5,3,5,5,3,5,5.25,4,5,3,6,2,6,2,3.75,3,4,4,4,4,4,6.4444,7,7,7,1,7,1,7,1,6,6,2,7,1,7,1,6,7,6,2,6,6,7,6,2,6,2,5,6,6,6,6,7,1,5,3,7,1,7,1,6,4,1,3,3,4,2,6,2,1,1,1,2
104,0,1,1,3,0,0,1,0,6,0,0.1,0,1,0,24,0,3,3,2,6,4,3,5,4.25,3,5,3,3,6,2,4.75,5,3,5,5,6,2,5.25,7,3,5,5,3,6,2,2.5,2,2,6,3,3,5,5.0556,3,5,6,2,6,2,6,2,4,5,3,5,3,5,3,5,7,6,2,2,4,6,5,3,6,2,5,6.3333,6,7,7,7,1,3,5,6,2,7,1,7,7,1,1.6667,2,2,1,6,4,1,2,1,1
105,0,1,0,2,0,1,0,0,3,3,0.05,1,5,1,47,1,3,2,3,5,3,4,4,6.25,6,6,2,7,6,2,6,6,6,2,5,7,1,6.75,6,7,1,7,1,7,1,3,2,2,6,2,6,2,5.5,6,6,5,3,7,1,6,2,3,4,4,6,2,5,3,6,7,7,1,4,6,7,6,2,6,2,2,6.5556,7,7,7,7,1,5,3,7,1,7,1,7,5,1,3.3333,3,4,3,6,3,2,1,1,2
108,0,1,1,3,0,0,1,0,5,2,0.1,0,5,1,47,1,3.25,2,3,5,5,3,5,5.75,5,6,2,6,6,2,6,6,6,2,5,7,1,6,6,6,2,6,2,6,2,5.25,5,5,3,6,5,3,5.4444,5,6,5,3,6,2,6,2,6,6,2,4,4,5,3,6,6,5,3,5,5,6,4,4,5,3,7,4.8889,3,6,3,6,2,6,2,6,2,6,2,3,5,1,1.6667,2,2,1,5,4,2,1,3,2
110,1,1,1,2,0,1,0,0,6,1,0.1,0,Don't have enough info to answer.,0,47,1,4,5,3,5,6,2,6,3.5,3,4,4,4,3,5,5.75,6,6,2,5,6,2,4,5,4,4,4,4,3,5,3.25,1,6,2,2,4,4,4.3333,3,5,5,3,4,4,6,2,4,4,4,4,4,5,3,5,4,6,2,3,4,3,3,5,5,3,5,5.5556,4,6,7,6,2,3,5,6,2,7,1,6,5,1,2,2,2,2,8,4,1,2,1,2
111,0,1,1,2,0,1,0,0,4,3,0.05,1,5,1,47,1,5,5,6,2,5,4,4,5.5,6,4,4,6,6,2,6.25,7,6,2,6,6,2,6.75,7,7,1,6,2,7,1,3.25,2,4,4,4,3,5,5.7778,6,7,6,2,5,3,6,2,6,6,2,6,2,5,3,6,7,6,2,6,6,6,4,4,4,4,6,5.3333,4,6,7,7,1,2,6,3,5,7,1,6,6,1,1,1,1,1,8,3,2,4,5,2
112,0,0,1,4,0,0,0,1,5,1,0.05,1,"Depends on if it takes each machine 5 minutes to make widget, or if each machine is making a widget in one minute and it takes five minutes to make five widgets. So either, 20 minutes or 100 minutes. ",0,I don't know...,0,3,2,7,1,2,1,7,3.25,4,2,6,2,5,3,6,6,6,2,5,7,1,6.25,6,7,1,6,2,6,2,3.75,3,6,2,1,5,3,6.1111,6,7,7,1,7,1,7,1,6,6,2,6,2,6,2,7,7,6,2,5,7,7,5,3,3,5,5,6.4444,7,7,7,7,1,5,3,6,2,7,1,6,6,1,3.6667,3,6,2,6,4,1,1,1,2
114,1,1,1,3,0,0,1,0,6,3,0.05,1,5,1,47,1,5.5,5,6,2,5,6,2,6,6,6,2,6,6,2,6,5,6,2,7,6,2,6.75,7,6,2,7,1,7,1,2,2,1,7,3,2,6,5.5,4,7,7,1,4,4,7,1,5,6,2,4,4,4,4,6,7,7,1,4,6,6,5,3,7,1,3,6.3333,6,7,7,6,2,4,4,6,2,7,1,7,7,1,3.6667,3,6,2,6,6,1,1,2,1
115,1,1,1,4,0,0,0,1,3,3,0.05,1,5,1,47,1,5.5,5,6,2,6,5,3,5,3,5,3,6,6,2,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,2.25,2,2,6,2,3,5,6.1667,6,6,7,1,6,2,6,2,6,7,1,6,2,4,4,6,7,7,1,6,6,7,6,2,6,2,6,4.8889,6,6,5,6,2,3,5,3,5,6,2,6,3,1,2.6667,3,3,2,5,4,1,1,3,2
127,1,1,1,4,0,0,0,1,1,2,0.05,1,100,0,47,1,5.25,5,5,3,5,6,2,5.75,5,6,2,6,6,2,7,7,7,1,7,7,1,5.25,6,6,2,3,5,6,2,1.75,1,2,6,2,2,6,4.9444,3,5,7,1,6,2,7,1,2,5,3,2,6,6,2,5,7,7,1,1,5,5,3,5,6,2,7,6.2222,7,7,6,7,1,5,3,7,1,7,1,5,5,1,1,1,1,1,6,4,2,1,2,2
131,0,1,1,3,0,0,1,0,4,1,0.1,0,100,0,47,1,4,2,6,2,6,2,6,5.25,5,4,4,6,6,2,5.75,6,6,2,5,6,2,6,6,6,2,6,2,6,2,4,3,2,6,6,5,3,6.5,7,7,7,1,7,1,7,1,6,7,1,6,2,6,2,7,7,7,1,6,7,7,6,2,5,3,5,6.1111,5,7,6,7,1,6,2,5,3,7,1,6,6,1,3,3,4,2,6,4,2,4,1,2
133,0,0,1,1,1,0,0,0,6,3,0.05,1,5,1,47,1,2.5,2,3,5,3,2,6,4,2,4,4,5,5,3,5.75,6,6,2,5,6,2,6.5,7,7,1,6,2,6,2,1.5,2,1,7,1,2,6,6.3889,6,7,7,1,7,1,7,1,6,6,2,6,2,6,2,7,7,7,1,3,7,7,6,2,6,2,7,5.7778,5,6,6,7,1,5,3,6,2,7,1,6,4,6,4,4,4,4,6,4,1,1,1,1
140,1,1,1,2,0,1,0,0,7,2,0.1,0,5,1,47,1,6.5,5,7,1,7,7,1,4,2,4,4,6,4,4,5.75,6,6,2,5,6,2,5.75,5,6,2,6,2,6,2,3.25,2,5,3,4,2,6,5.4444,2,6,6,2,6,2,6,2,5,3,5,6,2,3,5,6,6,6,2,6,6,6,6,2,7,1,6,6,6,6,6,7,1,7,1,5,3,7,1,6,4,1,2,2,2,2,6,4,1,1,1,2
