userid,low_high,num_verb,noground_ground,outcome,act_pos,act_neg,inact_pos,inact_neg,justification,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extra,extra_1,extra_2*,extra_2,extra_3,extra_4*,extra_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,need.cog,need.cog_1,need.cog_2,need.cog_3*,need.cog_3,need.cog_4*,need.cog_4,need.cog_5*,need.cog_5,need.cog_6,need.cog_7*,need.cog_7,need.cog_8*,need.cog_8,need.cog_9*,need.cog_9,need.cog_10,need.cog_11,need.cog_12*,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16*,need.cog_16,need.cog_17*,need.cog_17,need.cog_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,orient,orient.2,orient.2_1,orient.2_2,orient.2_3,educ,age,gender,race,gov.exper,policy
142,0,1,0,4,0,0,0,1,4,2,0.5,0,5,1,47,1,4.75,5,3,5,5,6,2,6,6,6,2,6,6,2,6.5,6,7,1,6,7,1,6,6,6,2,6,2,6,2,1.75,2,2,6,1,2,6,5.6111,5,5,6,2,7,1,7,1,5,6,2,5,3,6,2,5,7,6,2,5,6,7,6,2,3,5,4,6.4444,6,7,7,7,1,6,2,6,2,7,1,6,6,1,4,4,5,3,6,4,1,1,1,2
146,0,0,0,1,1,0,0,0,7,3,0.05,1,5,1,47,1,6.25,6,7,1,6,6,2,5.25,5,5,3,5,6,2,6,6,6,2,6,6,2,4.5,5,3,5,5,3,5,3,4.25,2,7,1,2,6,2,5.3333,3,6,6,2,6,2,7,1,6,6,2,5,3,5,3,7,6,5,3,4,3,5,6,2,6,2,4,5.7778,4,6,7,6,2,6,2,6,2,7,1,6,4,1,2.3333,3,3,1,5,3,2,1,2,1
147,0,0,0,1,1,0,0,0,6,2,0.05,1,100,0,47,1,6.25,5,6,2,7,7,1,3,2,3,5,4,3,5,6,6,6,2,6,6,2,5.25,5,6,2,5,3,5,3,4.5,4,5,3,3,6,2,5.4444,4,4,5,3,5,3,6,2,5,5,3,6,2,4,4,6,6,6,2,7,5,6,6,2,6,2,6,5.4444,4,7,6,6,2,6,2,3,5,7,1,6,4,1,2.6667,3,3,2,5,1,2,1,2,2
150,0,1,1,3,0,0,1,0,4,1,0.1,0,100,0,47,1,5.25,5,6,2,5,5,3,3,3,2,6,4,3,5,6,6,6,2,5,7,1,5.5,6,5,3,6,2,5,3,3,3,2,6,3,4,4,5.1111,5,5,6,2,6,2,5,3,4,6,2,6,2,5,3,6,6,5,3,3,4,5,5,3,5,3,5,5,5,6,4,6,2,4,4,5,3,6,2,4,5,1,3.6667,3,5,3,6,4,1,2,1,2
159,1,1,1,3,0,0,1,0,5,3,0.05,1,5,1,47,1,5,4,5,3,5,6,2,3.75,3,4,4,5,3,5,5.25,5,6,2,5,5,3,5.75,6,5,3,6,2,6,2,3.5,2,3,5,3,6,2,4.8889,4,6,6,2,6,2,7,1,5,7,1,4,4,3,5,2,5,6,2,5,4,5,2,6,6,2,5,6,6,7,7,7,1,3,5,4,4,7,1,7,6,1,4.3333,4,5,4,6,1,1,1,1,2
160,0,0,0,3,0,0,1,0,6,1,0.05,1,20,0,24,0,5,5,5,3,5,5,3,4.25,4,3,5,5,5,3,6,6,6,2,6,6,2,5.25,5,5,3,5,3,6,2,2.5,2,2,6,2,4,4,5.0556,4,5,5,3,6,2,6,2,4,5,3,4,4,5,3,6,5,6,2,4,5,6,5,3,5,3,5,5.5556,4,5,6,6,2,4,4,6,2,6,2,6,7,1,1.6667,2,2,1,6,2,2,1,6,2
165,1,1,0,1,1,0,0,0,6,0,0.1,0,100,0,12,0,5,5,6,2,5,4,4,4,2,5,3,4,5,3,6.75,7,6,2,7,7,1,7,7,7,1,7,1,7,1,3.25,2,4,4,2,5,3,5.8889,4,6,7,1,7,1,7,1,5,7,1,6,2,6,2,5,6,7,1,4,6,5,5,3,7,1,6,5.5556,5,7,6,7,1,4,4,2,6,7,1,7,5,1,2,2,2,2,5,1,2,1,5,2
167,0,1,0,2,0,1,0,0,4,2,0.05,1,1,0,47,1,5.25,3,6,2,6,6,2,3,2,3,5,4,3,5,5,6,4,4,6,4,4,6,6,6,2,6,2,6,2,3,3,3,5,2,4,4,5.4444,5,5,5,3,6,2,6,2,5,5,3,4,4,5,3,6,6,6,2,6,6,6,4,4,6,2,6,5.8889,4,7,6,7,1,5,3,5,3,7,1,6,6,7,2.6667,3,2,3,6,2,2,1,5,2
171,1,1,1,3,0,0,1,0,6,3,0.05,1,5,1,47,1,6,6,7,1,5,6,2,3.25,2,3,5,3,5,3,3.5,3,3,5,3,5,3,6.75,6,7,1,7,1,7,1,1.25,1,1,7,1,2,6,5.8889,6,6,6,2,6,2,6,2,6,5,3,3,5,6,2,6,7,6,2,7,7,7,5,3,5,3,6,5.3333,6,6,6,3,5,2,6,6,2,6,2,7,6,5,4,4,5,3,6,2,1,1,2,2
176,0,0,0,3,0,0,1,0,6,1,0.1,0,100,0,47,1,6.5,6,6,2,7,7,1,6.5,6,7,1,6,7,1,6,6,6,2,6,6,2,5.75,5,6,2,6,2,6,2,4.25,4,5,3,5,3,5,5.6667,6,6,6,2,6,2,6,2,5,6,2,6,2,5,3,6,6,6,2,5,5,6,4,4,6,2,6,5.5556,7,6,6,6,2,3,5,6,2,6,2,6,4,1,2.3333,2,3,2,8,4,1,1,2,1
182,0,0,1,1,1,0,0,0,7,2,0.05,1,100,0,47,1,5.5,5,6,2,6,5,3,5.5,6,5,3,6,5,3,5,6,4,4,5,5,3,4,6,3,5,5,3,2,6,3.25,4,3,5,2,4,4,4.8333,5,5,5,3,5,3,5,3,5,5,3,3,5,4,4,6,5,5,3,5,5,6,3,5,5,3,5,5.4444,6,6,7,6,2,4,4,5,3,6,2,5,4,2,6,6,6,6,3,2,1,1,1,2
184,1,0,1,3,0,0,1,0,6,1,0.05,1,1,0,0.001,0,3.5,3,3,5,6,2,6,1.25,1,2,6,1,1,7,6.75,6,7,1,7,7,1,6.5,7,7,1,5,3,7,1,4,5,2,6,3,6,2,5.2222,5,5,4,4,6,2,5,3,5,5,3,5,3,2,6,6,7,5,3,6,5,6,6,2,4,4,7,5.7778,5,7,6,7,1,4,4,5,3,7,1,7,4,1,4.3333,5,2,6,5,2,2,2,8,2
187,0,1,0,1,1,0,0,0,4,2,0.05,1,100,0,47,1,4.25,3,3,5,6,5,3,4.5,3,3,5,6,6,2,6.25,6,6,2,6,7,1,5.25,5,5,3,5,3,6,2,2.25,2,3,5,2,2,6,5,6,6,4,4,7,1,6,2,4,5,3,5,3,4,4,6,6,6,2,5,3,6,4,4,3,5,4,5.5556,4,6,4,7,1,6,2,4,4,7,1,6,6,5,5.6667,6,5,6,6,4,1,1,1,1
189,1,1,0,4,0,0,0,1,6,3,0.05,1,5,1,47,1,4,5,3,5,6,2,6,3.75,4,3,5,4,4,4,4.75,6,3,5,5,5,3,4.75,5,5,3,4,4,5,3,4.5,4,4,4,5,5,3,4.8333,4,5,5,3,6,2,5,3,5,3,5,3,5,3,5,6,5,5,3,4,6,6,6,2,5,3,5,4.5556,3,6,4,5,3,3,5,5,3,5,3,5,5,1,2.6667,2,5,1,6,3,1,4,8,2
190,0,1,0,1,1,0,0,0,6,0,I don't know and now I'm stressed.,0,I'm convinced there is some sort of advanced math in there that I'm missing.,0,I just feel like you're trying to trick me somehow. ,0,6.25,6,6,2,7,6,2,4.75,4,6,2,4,5,3,6.75,7,7,1,6,7,1,4.25,5,5,3,4,4,3,5,2.75,3,3,5,2,3,5,4.3333,1,4,6,2,4,4,7,1,1,7,1,4,4,5,3,6,5,6,2,1,6,4,4,4,5,3,2,5.3333,4,7,6,7,1,4,4,6,2,7,1,3,4,1,1,1,1,1,5,3,2,4,2,2
191,0,1,1,2,0,1,0,0,2,2,0.05,1,100,0,47,1,3.25,3,3,5,3,4,4,5,4,6,2,6,4,4,5.75,6,6,2,5,6,2,6,6,6,2,6,2,6,2,4.5,5,5,3,5,3,5,5.3889,5,3,7,1,6,2,5,3,6,6,2,5,3,3,5,6,6,6,2,3,6,7,6,2,6,2,5,5.5556,6,6,5,6,2,6,2,6,2,6,2,5,4,1,3,3,3,3,6,1,1,1,7,2
193,1,1,0,1,1,0,0,0,7,2,0.05,1,100,0,47,1,5.25,5,5,3,6,5,3,4,4,4,4,4,4,4,5,5,5,3,5,5,3,4.25,3,5,3,4,4,5,3,3.25,3,3,5,3,4,4,4.6667,5,5,5,3,4,4,5,3,3,5,3,5,3,3,5,6,5,5,3,5,4,5,4,4,5,3,5,4.7778,7,6,6,6,2,2,6,2,6,2,6,6,6,1,2,2,2,2,6,2,1,1,2,1
194,0,0,0,2,0,1,0,0,6,0,0.1,0,100,0,12,0,6.25,6,6,2,7,6,2,3.5,2,5,3,5,2,6,6.25,6,6,2,6,7,1,5.75,6,5,3,6,2,6,2,2.75,2,2,6,2,5,3,5.9444,6,6,6,2,6,2,6,2,6,6,2,6,2,5,3,6,6,6,2,6,5,7,5,3,7,1,6,5.5556,5,6,6,6,2,6,2,4,4,7,1,6,4,1,3.3333,4,4,2,6,2,2,1,2,1
195,0,0,0,4,0,0,0,1,4,2,0.05,1,100,0,47,1,3.75,5,2,6,6,2,6,6,6,6,2,6,6,2,6.5,7,6,2,7,6,2,5.25,7,5,3,3,5,6,2,4.5,5,4,4,4,5,3,4.2222,3,5,4,4,6,2,5,3,3,5,3,3,5,4,4,3,5,5,3,3,3,6,5,3,3,5,5,5,5,5,6,6,2,5,3,3,5,5,3,5,5,5,3,3,4,2,6,2,2,1,8,2
199,1,1,0,4,0,0,0,1,6,2,0.05,1,5,1,24,0,5,3,7,1,5,5,3,4.5,1,7,1,6,4,4,5.75,7,4,4,7,5,3,5.25,4,7,1,5,3,5,3,1.5,1,1,7,3,1,7,5.3889,4,4,5,3,7,1,7,1,4,5,3,6,2,6,2,7,4,7,1,4,4,5,7,1,6,2,5,6.2222,4,7,6,7,1,6,2,5,3,7,1,7,7,5,5,5,5,5,8,4,2,1,7,2
200,1,1,1,4,0,0,0,1,3,1,0.05,1,100,0,24,0,5.5,6,5,3,5,6,2,1.75,1,1,7,3,2,6,5.75,6,6,2,6,5,3,5.75,6,4,4,6,2,7,1,3.25,1,6,2,2,4,4,5.3889,4,7,6,2,6,2,3,5,6,6,2,5,3,5,3,6,5,6,2,4,4,6,7,1,6,2,5,6,5,7,7,7,1,4,4,6,2,7,1,5,6,6,5,6,3,6,6,4,2,1,2,2
206,0,0,0,1,1,0,0,0,6,2,0.1,0,5,1,47,1,5.25,5,3,5,7,6,2,5.5,6,6,2,5,5,3,5.25,7,3,5,5,6,2,5.25,6,5,3,5,3,5,3,3.25,4,2,6,2,5,3,5.7778,5,6,7,1,7,1,5,3,5,6,2,6,2,4,4,6,7,7,1,5,7,7,3,5,4,4,7,5.6667,4,7,7,7,1,6,2,5,3,7,1,4,4,4,4.3333,5,5,3,6,3,2,3,3,2
208,1,1,1,1,1,0,0,0,7,2,0.1,0,5,1,47,1,5.75,6,6,2,5,6,2,6.5,6,7,1,6,7,1,6.5,6,6,2,7,7,1,5,6,2,6,6,2,6,2,2.5,2,2,6,3,3,5,5.4444,5,5,6,2,6,2,6,2,5,4,4,4,4,7,1,6,6,7,1,5,6,4,6,2,4,4,6,6,6,6,7,7,1,4,4,6,2,7,1,7,4,1,3.3333,3,5,2,6,2,1,4,5,2
210,0,0,0,2,0,1,0,0,5,2,0.1,0,5,1,47,1,5.75,5,6,2,6,6,2,4.5,4,5,3,5,4,4,4,5,3,5,4,4,4,3,3,3,5,3,5,3,5,2.5,2,2,6,3,3,5,4.0556,5,5,5,3,6,2,2,6,2,5,3,2,6,5,3,6,5,5,3,4,4,3,2,6,5,3,2,4.8889,5,6,6,5,3,3,5,5,3,6,2,4,4,5,4.6667,4,5,5,8,2,1,4,2,1
212,1,1,0,3,0,0,1,0,6,0,0.1,0,1,0,24,0,7,7,7,1,7,7,1,6,5,7,1,5,7,1,6.5,7,7,1,6,6,2,5,7,3,5,3,5,7,1,2.75,1,3,5,5,2,6,5.2778,6,6,6,2,6,2,6,2,6,3,5,4,4,3,5,4,7,6,2,2,3,7,7,1,7,1,6,5.8889,5,7,6,7,1,4,4,3,5,7,1,7,7,1,2.3333,1,5,1,6,2,2,7,5,2
217,0,0,1,1,1,0,0,0,6,3,0.05,1,5,1,47,1,6.5,6,7,1,7,6,2,5,5,5,3,5,5,3,5.75,6,6,2,5,6,2,6.25,6,7,1,6,2,6,2,2.5,2,2,6,1,5,3,5.8889,6,6,7,1,6,2,6,2,6,6,2,4,4,4,4,7,6,6,2,6,7,6,6,2,6,2,5,5.6667,5,6,6,7,1,4,4,5,3,7,1,6,5,1,4,4,5,3,6,2,1,1,7,1
219,1,1,1,1,1,0,0,0,5,3,0.05,1,5,1,47,1,2.75,3,2,6,4,2,6,6,5,6,2,6,7,1,6.25,6,7,1,6,6,2,6.5,6,7,1,7,1,6,2,3.5,3,4,4,2,5,3,6.2222,7,7,6,2,7,1,6,2,7,7,1,1,7,7,1,7,7,7,1,6,7,6,5,3,6,2,6,5.7778,5,7,3,7,1,5,3,6,2,7,1,7,5,1,2,2,1,3,6,4,1,1,5,2
220,1,1,0,3,0,0,1,0,5,3,0.05,1,5,1,47,1,4.75,4,5,3,6,4,4,4.75,4,6,2,5,4,4,4.75,5,5,3,3,6,2,5.25,5,6,2,5,3,5,3,4.25,6,3,5,2,6,2,4.2778,4,5,5,3,5,3,6,2,3,5,3,2,6,3,5,6,4,5,3,3,6,4,5,3,2,6,4,6.4444,7,7,7,6,2,6,2,6,2,7,1,7,5,1,3,3,4,2,5,3,1,1,2,1
222,1,1,1,2,0,1,0,0,6,3,0.05,1,5,1,47,1,4.25,5,3,5,6,3,5,6,5,7,1,6,6,2,6,5,7,1,5,7,1,6.75,7,7,1,6,2,7,1,5,5,6,2,6,3,5,6.1111,6,7,7,1,6,2,7,1,6,6,2,4,4,4,4,7,7,7,1,7,7,3,7,1,6,2,6,6.5556,6,7,7,7,1,6,2,6,2,7,1,7,6,1,2,2,3,1,8,4,1,1,1,2
223,1,1,1,3,0,0,1,0,5,3,0.05,1,5,1,47,1,4.5,5,2,6,6,5,3,4.5,4,5,3,5,4,4,6.25,7,7,1,5,6,2,4.75,5,6,2,3,5,5,3,2,2,2,6,2,2,6,4.9444,6,6,6,2,5,3,6,2,6,6,2,2,6,3,5,6,6,4,4,6,2,6,5,3,3,5,5,5.3333,6,6,5,7,1,3,5,6,2,6,2,6,3,1,5,5,4,6,6,4,1,1,1,2
233,0,0,0,1,1,0,0,0,4,3,0.05,1,5,1,47,1,3,2,2,6,5,3,5,4.25,2,6,2,4,5,3,6.25,6,7,1,5,7,1,6.75,7,7,1,6,2,7,1,2.5,2,3,5,4,1,7,6,6,5,7,1,6,2,6,2,6,6,2,4,4,5,3,7,5,7,1,6,7,6,6,2,6,2,7,5.7778,4,7,6,7,1,6,2,4,4,7,1,7,4,7,3.3333,3,5,2,8,2,1,7,2,2
235,1,1,1,1,1,0,0,0,6,3,0.05,1,5,1,47,1,4.5,5,4,4,5,4,4,4.25,3,5,3,5,4,4,5,6,5,3,5,4,4,4.25,6,2,6,4,4,5,3,3,3,3,5,3,3,5,4.6111,6,6,6,2,1,7,1,7,6,2,6,4,4,3,5,7,6,6,2,5,4,6,6,2,2,6,6,5.6667,6,7,6,6,2,5,3,2,6,7,1,6,6,1,2,2,2,2,6,2,2,4,5,2
240,1,1,0,1,1,0,0,0,6,3,0.05,1,5,1,47,1,3.5,1,5,3,6,2,6,6.25,4,7,1,7,7,1,6.5,7,7,1,5,7,1,5,3,7,1,6,2,4,4,1.25,1,2,6,1,1,7,5.1111,4,6,6,2,6,2,6,2,4,5,3,6,2,3,5,6,4,7,1,4,6,7,4,4,6,2,2,6.5556,7,7,7,7,1,6,2,6,2,7,1,6,6,1,2,3,2,1,8,4,1,1,2,1
241,0,1,1,4,0,0,0,1,6,3,0.05,1,5,1,47,1,6.75,6,7,1,7,7,1,2.25,3,2,6,1,3,5,4.75,5,6,2,2,6,2,5.75,4,7,1,7,1,5,3,2.25,2,3,5,2,2,6,6.3333,6,6,7,1,6,2,6,2,7,7,1,4,4,6,2,7,7,6,2,7,7,7,6,2,6,2,6,6.6667,7,7,7,7,1,6,2,7,1,7,1,6,6,1,1.6667,2,2,1,6,3,1,1,2,1
244,0,0,1,2,0,1,0,0,3,1,0.1,0,100,0,47,1,4,3,3,5,5,5,3,3.5,3,3,5,3,5,3,5,6,6,2,2,6,2,4.75,6,5,3,3,5,5,3,3.75,3,6,2,3,3,5,4.9444,6,7,7,1,6,2,6,2,3,5,3,5,3,6,2,3,6,2,6,3,6,5,5,3,1,7,7,5.8889,7,7,7,7,1,5,3,5,3,6,2,5,4,1,2.6667,3,3,2,5,6,1,1,4,1
248,1,1,1,1,1,0,0,0,7,0,0.1,0,1,0,24,0,5.75,6,5,3,6,6,2,4.25,3,5,3,3,6,2,6.75,7,7,1,7,6,2,6,6,6,2,6,2,6,2,4,2,6,2,2,6,2,5.3889,6,6,6,2,6,2,6,2,7,6,2,6,2,6,2,6,6,6,2,2,6,7,1,7,2,6,6,6.1111,7,7,7,7,1,6,2,3,5,7,1,7,4,1,3,3,3,3,7,5,1,1,7,2
251,1,0,1,3,0,0,1,0,3,0,0.1,0,100,0,24,0,3.5,5,2,6,5,2,6,4.25,4,4,4,4,5,3,6,7,4,4,7,6,2,4.75,6,4,4,4,4,5,3,4,5,2,6,6,3,5,3.7778,5,4,4,4,2,6,3,5,6,2,6,3,5,4,4,5,3,2,6,4,3,3,5,3,4,4,6,4.2222,6,4,5,3,5,2,6,5,3,4,4,5,4,1,5.6667,5,7,5,7,3,2,3,5,2
256,0,0,0,2,0,1,0,0,5,3,0.05,1,5,1,47,1,4.5,3,5,3,5,5,3,6.75,6,7,1,7,7,1,6.5,7,7,1,5,7,1,7,7,7,1,7,1,7,1,2.25,2,2,6,2,3,5,6.3333,7,7,7,1,7,1,7,1,6,7,1,6,2,6,2,7,7,7,1,6,7,7,6,2,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
259,1,1,1,3,0,0,1,0,6,2,0.1,0,5,1,47,1,4.25,4,5,3,5,3,5,5.5,5,6,2,6,5,3,6.25,7,6,2,6,6,2,6,6,6,2,6,2,6,2,4,3,5,3,3,5,3,5.6667,6,7,6,2,7,1,6,2,5,6,2,6,2,2,6,6,6,6,2,5,6,7,4,4,6,2,5,5.5556,6,6,6,6,2,3,5,6,2,6,2,6,5,1,3,2,5,2,5,3,2,1,5,2
260,1,1,1,4,0,0,0,1,2,0,0.1,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,0,1,0,4,0,0,0,1,2,3,0.05,1,5,1,47,1,4.5,5,3,5,5,5,3,5.5,4,6,2,7,5,3,6.25,6,6,2,6,7,1,7,7,7,1,7,1,7,1,5.25,6,7,1,3,5,3,6.2778,7,7,7,1,6,2,7,1,7,7,1,6,2,3,5,7,7,7,1,6,7,7,1,7,7,1,7,6.3333,6,7,7,6,2,6,2,6,2,7,1,7,5,1,3,3,3,3,8,2,1,1,2,1
263,0,0,0,3,0,0,1,0,6,2,0.1,0,5,1,47,1,5.5,6,6,2,6,4,4,5.75,5,6,2,6,6,2,5.5,6,6,2,4,6,2,6.25,6,7,1,6,2,6,2,3.5,2,4,4,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,0,0,1,3,0,0,1,0,5,3,0.05,1,5,1,47,1,5,4,6,2,6,4,4,5.75,5,6,2,7,5,3,5.75,6,6,2,5,6,2,4.25,5,3,5,4,4,5,3,3.5,3,4,4,3,4,4,4.1111,5,4,5,3,3,5,6,2,3,5,3,3,5,3,5,4,4,5,3,4,4,4,4,4,6,2,2,6.1111,6,7,6,7,1,6,2,6,2,7,1,6,4,3,4.3333,5,5,3,5,2,2,1,2,2
270,1,0,1,2,0,1,0,0,5,1,0.05,1,20,0,6,0,5,2,6,2,7,5,3,5.75,5,6,2,5,7,1,5.5,6,6,2,5,5,3,4,5,3,5,3,5,5,3,4.5,2,6,2,4,6,2,4.9444,4,6,6,2,6,2,6,2,5,6,2,2,6,6,2,4,6,6,2,3,3,5,6,2,6,2,3,6.3333,5,7,7,6,2,7,1,6,2,7,1,7,5,1,4,4,5,3,6,3,2,3,1,1
273,1,1,1,4,0,0,0,1,5,0,0.1,0,20,0,12,0,5.5,7,3,5,6,6,2,4.75,5,6,2,3,5,3,6.25,7,6,2,6,6,2,6.5,7,7,1,6,2,6,2,4,3,5,3,3,5,3,5.1667,5,5,5,3,6,2,3,5,2,3,5,6,2,5,3,7,5,6,2,5,6,5,7,1,7,1,5,5.5556,5,6,6,6,2,3,5,6,2,6,2,6,6,1,2,2,3,1,5,2,1,1,2,2
276,0,0,1,1,1,0,0,0,6,1,0.05,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,1,1,1,4,0,0,0,1,1,0,0.1,0,100,0,24,0,6,6,6,2,6,6,2,4,3,5,3,2,6,2,6.5,6,7,1,7,6,2,6.25,6,7,1,6,2,6,2,4.25,2,6,2,3,6,2,5.2222,6,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,6,5,3,2,6,6,2,6,1,7,6,6.4444,6,7,7,7,1,6,2,6,2,7,1,6,6,1,3,3,3,3,7,5,1,1,7,2
282,1,1,1,4,0,0,0,1,6,0,0.1,0,100,0,24,0,6.5,5,7,1,7,7,1,3,4,4,4,1,3,5,7,7,7,1,7,7,1,6,5,6,2,6,2,7,1,2,2,2,6,2,2,6,5.3333,5,5,6,2,7,1,6,2,5,6,2,4,4,3,5,6,6,6,2,2,6,6,6,2,6,2,5,4,1,6,3,6,2,2,6,5,3,6,2,4,3,6,5,5,5,5,5,5,2,7,4,1
288,0,0,0,4,0,0,0,1,4,2,0.05,1,500,0,47,1,5.5,5,6,2,6,5,3,4,4,4,4,4,4,4,5,4,5,3,6,5,3,5.75,7,4,4,5,3,7,1,4.5,4,5,3,4,5,3,4.9444,6,5,6,2,5,3,5,3,4,3,5,4,4,2,6,6,7,6,2,6,4,6,5,3,5,3,4,5.4444,6,7,7,6,2,4,4,5,3,6,2,4,4,3,3,3,4,2,6,3,2,7,2,2
291,0,0,1,4,0,0,0,1,7,1,1.05,0,5,1,24,0,3.25,2,4,4,3,4,4,5.25,4,5,3,5,7,1,5.5,7,6,2,6,3,5,6.5,6,7,1,6,2,7,1,3,2,3,5,4,3,5,5.1111,6,6,6,2,6,2,6,2,3,3,5,2,6,5,3,6,6,7,1,4,6,4,6,2,6,2,4,6.3333,6,7,7,7,1,6,2,7,1,7,1,5,5,3,3,3,4,2,6,3,1,1,8,2
293,1,1,1,4,0,0,0,1,3,0,0.1,0,100,0,24,0,6,6,6,2,6,6,2,4,4,4,4,3,5,3,6,6,6,2,6,6,2,7,7,7,1,7,1,7,1,3.25,2,4,4,2,5,3,5.7778,6,6,6,2,6,2,6,2,6,6,2,2,6,6,2,6,6,6,2,6,6,6,6,2,6,2,6,5.1111,6,6,6,6,2,2,6,4,4,6,2,4,6,5,4.3333,5,3,5,5,1,2,4,5,1
294,1,1,1,3,0,0,1,0,7,1,0.05,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,0,0,1,1,1,0,0,0,3,0,0.1,0,100,0,24,0,4.25,7,2,6,4,4,4,4,4,4,4,4,4,4,4,5,3,5,3,5,3,3,2,6,2,2,6,2,6,4,4,4,4,4,4,4,4,5,5,3,5,4,4,3,5,4,4,4,3,5,3,5,5,6,3,5,6,4,5,2,6,3,5,4,4,6,6,5,2,6,2,6,3,5,2,6,5,5,3,4.6667,5,5,4,6,8,1,1,1,2
298,0,0,0,2,0,1,0,0,2,0,0.1,0,100,0,48,0,4,5,3,5,5,3,5,3.5,3,4,4,3,4,4,3.5,2,5,3,2,5,3,3.5,4,2,6,4,4,4,4,3.75,4,3,5,5,3,5,4.3333,4,6,4,4,4,4,4,4,3,4,4,5,3,2,6,5,3,5,3,4,6,5,5,3,4,4,5,4.1111,4,4,4,3,5,4,4,5,3,4,4,4,5,3,5,5,5,5,1,2,2,2,7,2
300,1,0,1,4,0,0,0,1,3,0,0.2,0,4,0,21,0,4,3,6,2,3,4,4,4,2,5,3,3,6,2,3.75,1,6,2,3,5,3,4.5,5,4,4,5,3,4,4,4.25,5,4,4,3,5,3,3.2222,4,5,2,6,3,5,1,7,3,4,4,4,4,4,4,4,2,3,5,1,5,4,2,6,2,6,5,4,4,5,6,4,4,2,6,3,5,3,5,4,5,2,2.6667,3,1,4,6,4,1,3,2,2
306,0,1,1,2,0,1,0,0,3,3,0.05,1,5,1,47,1,5.5,5,5,3,6,6,2,2,2,2,6,1,3,5,4.5,5,3,5,3,7,1,7,7,7,1,7,1,7,1,3,2,5,3,3,2,6,6.3889,7,7,7,1,7,1,7,1,5,7,1,7,1,7,1,7,7,7,1,6,7,7,1,7,6,2,6,6.1111,7,7,7,6,2,6,2,2,6,7,1,7,6,3,5,5,5,5,7,6,1,1,1,2
308,0,0,0,4,0,0,0,1,2,1,0.1,0,100,0,47,1,5.75,4,7,1,6,6,2,6.5,6,7,1,6,7,1,6.75,6,7,1,7,7,1,5.5,3,7,1,7,1,5,3,2.25,1,3,5,3,2,6,6.2222,6,7,7,1,7,1,7,1,7,7,1,6,2,6,2,7,5,6,2,2,7,7,6,2,5,3,7,6.4444,7,7,7,7,1,5,3,6,2,7,1,7,5,1,2.6667,3,3,2,6,2,2,6,2,2
310,0,0,0,4,0,0,0,1,1,1,0.05,1,100,0,24,0,2,1,1,7,4,2,6,3.25,2,6,2,2,3,5,4.75,7,2,6,6,4,4,3.25,4,3,5,3,5,3,5,2.5,1,2,6,4,3,5,4.1667,4,5,6,2,6,2,4,4,2,3,5,4,4,3,5,7,6,7,1,1,6,6,2,6,1,7,2,5.1111,4,6,6,7,1,5,3,4,4,4,4,5,5,1,1.6667,1,3,1,6,4,1,4,2,1
318,0,1,0,1,1,0,0,0,6,1,0.1,0,100,0,47,1,5,5,3,5,7,5,3,4.5,2,5,3,6,5,3,5.25,5,5,3,6,5,3,4,6,1,7,2,6,7,1,5.25,5,6,2,3,7,1,5.7222,4,6,7,1,7,1,7,1,6,7,1,4,4,7,1,6,7,7,1,5,1,6,4,4,6,2,6,5.2222,5,6,5,7,1,4,4,5,3,7,1,4,4,1,5,5,6,4,6,4,2,2,2,1
334,0,0,0,4,0,0,0,1,7,3,0.05,1,5,1,47,1,4.25,6,3,5,7,1,7,5.25,3,5,3,7,6,2,6.5,7,7,1,6,6,2,6,6,6,2,6,2,6,2,1.25,1,1,7,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
